Ингредиенты
чеснок
петрушка
Aqua
Glycerin
Xylitol
Polysorbate 20
Ethylhexylglycerin
Phenoxyethanol
Coco-Glucoside
Tetrasodium Glutamate Diacetate
PEG-40 Hydrogenated Castor Oil
Hippophae Rhamnoides Extract
Salvia Of?cinalis (Sage) Leaf Extract
Aroma
Cellulose Gum
Urtica Dioica Extract
Citric Acid
Calcium-L-Lactate
Stevia Rebaudiana Extract
Bisabolol
Citrus Limon Peel Oil
филе гребешка
бульон куриный натуральный (вода питьевая
набор суповой куриный
лавровый лист
перец черный горошком)
филе куриное
лапша (мука пшеничная в/с
яйцо куриное пищевое
лук репчатый свежий
морковь свежая
петрушка свежая
мука ржаная обдирная
мука пшеничная хлебопекарная первого сорта
дрожжи хлебопекарные прессованные
креветки варено-мороженые
вода артезианская
масло растительное подсолнечное
дрожжи хлебопекарные сухие
форель
рис
сок свекольный концентрированный
овес
малина сушеная
свекла сушеная
закваска творожная
грибы шампиньоны свежие
сливки ультрапастеризованные 22%
картофель свежий
лук свежий
масло сливочное 82% (пастеризованные сливки)
нерка
говядина
шпик
продукт яичный (меланж)
молоко сухое
пряности натуральные молотые (перец душистый
имбирь
мускатный орех
горчица
сельдерей)
экстракты из натуральных пряностей (перец душистый
мацис
мускатный орех)
глюкоза
из кофе отборных сортов
выращенного на высокогорных плантациях Бразилии
сироп глюкозы
вода
мука пшеничная хлебопекарная в/с
томатный порошок
лук сушеный молотый
смесь перцев
эмульгатор лецитин соевый
мясо криля
соль поваренная
пюре из груш
молоко козье цельное
масло козье
сухой глюкозный сироп
стабилизатор – эмульгатор (крахмал
пищевой желатин
казеинаты кальция и натрия
сухой глюкозный сироп)
ароматизатор натуральный – ванилин
филе грудки цыпленка-бройлера
крупа гречневая
хлопья гречневые
пряности (перец черный
перец белый)
овощи сушеные (паприка
лук
петрушка)
конгрио
мука в/с
масло сладкосливочное несоленое 82%
яйца куриные
ванильный сахар
сливки пастеризованные
черника свежая
загуститель пектин яблочный
фруктоза
стабилизатор камедь рожкового дерева (менее 0
05%)
капуста белокочанная бланшированная
рис отварной
лук пассерованный
морковь пассерованная
облепиха
лимонная кислота
клетчатка растительная (пшеничные отруби) 10
2 %
сухое молоко обезжиренное
мука ржаная хлебопекарная обдирная
мука пшеничная хлебопекарная 1 сорт
патока мальтозная
повидло яблочное
солод ферментированный
солод неферментированный
тмин измельченный
глицерин
бензойная кислота
яблочная кислота
молочная кислота
пшеничная крупа
оливковое масло
кус-кус
перец болгарский
тыква
морковь
фасоль стручковая
молоко сухое цельное 25%
пряности натуральные молотые (перец черный
кориандр
можжевельник
гвоздика)
антиокислитель (аскорбиновая кислота)
вода минеральная природная питьевая гидрокарбонатная магниево-кальциевая газированная
солод
хмель
дрожжи
кремния диоксид
сорбитол
карбоксиметил целлюлозы
кокамидопропилбетаин
ароматизатор
крапивы экстракт
ксилит
этилгексилглицерин
феноксиэтанол
прополиса экстракт
ромашки экстракт
экстракт листьев шалфея
лактат кальция
сухой экстракт стевии
витамин Е
витамин А
витамин D-пантенол
бадана экстракт
папаин
эфирное масло герани
линалоол
лимонен
изготовлен из молока цельного
молока обезжиренного
с использованием йогуртной закваски
цукини
томаты
перец сладкий
филе грудки и бедра индейки
перец душистый
сахар (не более 0
3%)
перец черный
овсяные хлопья
яйцо столовое пищевое
орех грецкий очищенный
сода пищевая
кардамон
мука пшеничная хлебопекарная высший сорт
масло сладко-сливочное несоленое м. ж. д. 82
молоко питьевое нормализованное м. д. ж.3
2%
молоко цельное сгущеное с сахаром (молоко цельное
сахароза
лактоза)
уксус столовый 9%
сахар ванильный с натуральной ванилью (сахар
стручки ванили измельченные)
100 % Арабика
мясо индейки
сухое молоко
экстракты перца черного
мускатного ореха
зеленого перца
сельдерей
курага
изюм
мед
чернослив
грецкий орех
ядро ореха фундука
какао тертое
сахар тростниковый
эмульгатор – лецитин соевый
сок томатный
перец сладкий свежий
зелень петрушки свежая
финики
кокос
кунжут
масло кокосовое рафинированное дезодорированное
мука пшеничная высшего сорта
пудра сахарная
кокосовая стружка
молоко сухое обезжиренное
продукты яичные сухие
ароматизатор пищевой
разрыхлители (гидрокарбонат натрия
карбонаты аммония)
ядра орехов лещины (фундука) обжаренные
какао-порошок
мука соевая
порошок яичный
масло растительное рафинированное дезодорированное
ароматизатор – ванилин
сахар (сахароза
творог 5% жирности (молоко нормализованное пастеризованное
закваска на основе молочнокислых микроорганизмов
фермент молокосвертывающий животного происхождения - пепсин)
сливки 40% жирности (сливки коровьи)
изюм (виноград сушеный)
экстракт ванили
100% нерафинированное кунжутное масло
молоко нормализованное пастеризованное 3
5% жирности
"закваска на основе молочнокислых лактобактерий ""Наринэ"""
с использованием чистых культур мезофильных и термофильных микроорганизмов
культуры Penicillium roqueforti
молокосвертывающего ферментного препарата микробного происхождения «Каймакс М»
соли поваренной пищевой
уплотнителя хлористого кальция
ядра орехов миндальных дробленые
ядра абрикосовых косточек (дробленые или молотые)
белок яичный пастеризованный
сливки питьевые пастеризованные м. д. ж. 33%
масло сладко-сливочное несоленое «Традиционное» м. д. ж. 82
молоко ультрапастеризованное м. д. ж. 3
желток яичный пастеризованный
регулятор кислотности – кислота лимонная
разрыхлитель – гидрокарбонат натрия (сода пищевая)
экстракт моркови
ароматизатор – ванилин.
чечевица
сухари панировочные (мука пшеничная хлебопекарная высшего сорта
перец чёрный молотый
чеснок сушёный
петрушка сушёная
укроп сушёный.
сливочный сыр (творог
загуститель модифицированный крахмал
стабилизатор (камедь рожкового дерева и гуаровая камедь)
вода питьевая)
печенье (мука пшеничная
масло сливочное 82
яйцо
сода)
сметана 30% (сливки нормализованные
закваска)
брусника
молоко нормализованное самосквашенное
зерно пшеницы пророщенное
зелень укропа и петрушки
соль кухонная
ядро миндаля жареное
кешью жареный
клюква сушеная
патока крахмальная
цедра апельсина
шоколад (сахар
эмульгатор - лецитин)
изготовлен из пастеризованного молока с использованием мезофильных и термофильных молочнокислых микроорганизмов
пропионовокислых бактерий
сычужного молокосвертывающего ферментного препарата животного происхождения
хлористого кальция
поваренной пищевой соли
консерванта – лизоцим
кабачки свежие
томатная паста м. д. сухих веществ 36%
петрушка сушеная
укроп сушеный
перец душистый молотый
семена подсолнечника
патока
солод ржаной ферментированный
пряности - тмин
натриевые соли жирных кислот пальмового масла > 30 % неионогенный ПАВ (алкилполиглюкозид) > 5% (< 15%)
натрия силикат > 5% (< 15%)
сода > 15% (< 30%)
натрия цитрат < 5%
натрия перкарбонат > 5% (< 15%)
карбоксиметилцеллюлоза < 5%
кондиционирующая добавка (гидролизат протеинов хлопка) > 5%
АПАВ – на основе сырья растительного происхождения 5-15%
НПАВ – глюкозиды
мыльная крошка
комплексообразователь (биоразлагаемый)
КМЦ
силикат натрия
сода кальцинированная
сульфат натрия
экзимы (не ГМО)
пеногаситель
кислородный отбеливатель
растительный бетаин (смягчающий и кондиционирующий компонент)
творог 9% (изготовлен из коровьего молока с использованием закваски для творога
фермента сычужного)
сахарная пудра
масло сладко-сливочное несоленое 82
молоко питьевое пастеризованное 3
соль морская садочная пищевая зерновая 2 сорт
цельное и обезжиренное козье молоко с использованием бактериального концентрата лактококков и термофильных молочнокислых стрептококков
масса подсолнечная
семена льна обжаренные
экстракт корня колючелистника
сливки питьевые ультрапастеризованные 35% (нормализованные сливки
стабилизатор каррагинан)
сметана 25%
масло сладкосливочное 82%
мед натуральный цветочный
сода
соль морская
"масло сладко-сливочное ""Крестьянское"" м. д. ж. 72"
патока карамельная
шоколад горький с содержанием какао 72
1% (какао-тертое
какао масло
эмульгатор - лецитин соевый)
белок яичный - пастеризованный охлажденный
меланж яичный пастеризованный охлажденный
молоко сгущенное с сахаром (цельное молоко
лактоза))
разрыхлитель гиброкарбонат натрия (сода пищевая)
вода дистиллированная
А-Тензиды (анионные ПАВ из возобновляемого сырья – пальма и сахарный тростник)
NTA – 3%
соль уксусной кислоты и калийной щелочи (калийная соль или морская минеральная соль)
парфюмерная композиция – 2%
лимонное масло
бергамотное масло
санталовое масло
масло перечной мяты
натуральный экстракт цветов
пищевой краситель из яичного желтка
дистиллированная вода
экстракт лимона 2% - композиция масел (лимонное масло
петигреневое лимонное масло
масло горького померанца
масло лайма
лемонграссовое масло)
К-Тензиды - 5% (катионные ПАВ
произведенные из кокосовых и пальмоядровых масел)
парфюмерная композиция – 2% (жасминовое масло
гераниевое масло
розовое масло
неролиевое масло)
натуральный экстракт сирени
парфюмерная композиция 2% - масло душицы
аирное масло
бархатцевое масло
миртовое масло
экстракт полевых трав
дистиллированная вода обогащенная ионами серебра > 30%
сода 5 – 15% А-тензиды (анионные ПАВ из возобновленного сырья – пальма и сахарный тростник) < 5%
Н-тензиды (неионогенный ПАВ растительного происождения на основе глюкозы) < 5%
""
Н-Тензиды (неионогенный ПАВ растительного происхождения – на основе глюкозы)
лимонная кислота (пищевая)
парфюмерная композиция (жасминовое масло
молоко 3
масло сливочное «Крестьянское» 72
сливки 10% (нормализованные сливки)
шоколад горький 72
1% (какао тертое
эмульгатор соевый лецитин)
напиток березовый натуральный
регулятор кислотности - лимонный сок
мята
свежий сок из апельсинов
прямого отжима
зеленый чай «матча»
миндаль
сливки нормализованные пастеризованные
фруктовый наполнитель (сахар
банан
ароматизатор натуральный «Персик-банан»
натуральный краситель – «аннато»)
йогуртовая закваска (термофильный стрептококк и болгарская палочка)
творог
фруктовый наполнитель (вишня
загуститель - пектин
регулятор кислотности - лимонная кислота
"натуральный ароматизатор ""Вишня"")"
молоко пастеризованное
стабилизатор (желатин
камедь рожкового дерева
гуаровая камедь)
филе индейки (белое мясо)
орех пекан
фисташки жареные
шафран
нарезанные кубиками очищенные томаты (70 %)
томатный сок (30 %)
кабачки
масло растительное
томатная паста
зелень
пряности
патока крахмальная (карамельная)
масло сливочное массовая доля жира 82
5 %
повидло яблочное (яблоки
сахар)
разрыхлитель-гидрокарбонат натрия (сода пищевая)
пряности молотые-корица
кардамон перец душистый
гвоздика
антиокислитель – кислота лимонная
глазурь (сухой яичный белок
(белый цвет)
красители натуральные (карамельный экстракт
бета-каротин
бетанин
аннато
куркумин).
корень хрена
хлеб ржано-пшеничный (мука пшеничная хлебопекарная 2 сорта
дрожжи хлебопекарные)
чеснок сушеный
соль йодированная
хлеб ржано-пшеничный (мука ржаная хлебопекарная обдирная
мука пшеничная хлебопекарная 2-го сорта
зелень укропа сушёная
соль пищевая йодированная.
молоко коровье пастеризованное натуральное
молокосвертывающий фермент микробиального происхождения
поваренная соль
вода минеральная природная питьевая лечебно-столовая
вода минеральная природная питьевая столовая негазированная
ароматизатор натуральный эфирное масло лимона
виноградный сок прямого отжима
пшеничная мука
вода питьевая очищенная
солод ржаной красный ферментированный
мороженое: сливки из коровьего молока
молоко сухое обезжиренное (не более 3%)
стабилизатор – эмульгатор (моно- и диглицериды жирных кислот)
каррагинан
вафельный стаканчик: мука пшеничная хлебопекарная
масло растительное (подсолнечное)
тесто (мука пшеничная
капуста квашеная (капуста свежая
перец черный молотый)
мясо кролика бескостное
масло сладко-сливочное с м.д.ж. 72
укроп свежий
яйцо перепелиное
масло подсолнечное рафинированное
укроп сушёный
натуральные красители (порошок моркови
экстракт шпината).
мед цветочный
солод ячменный пивоваренный
хмель ароматный
натуральный гречишный мед
пюре из маракуйи (83% сок из маракуйи без семечек и сахара
17% сахарный сироп: 65% сахара
35% воды питьевой)
сливки (сливки
желатин
ванилин
шоколад (какао тертое
эмульгатор - соевый лецитин
ароматизатор - ваниль)
стабилизатор - каррагинан)
вода деминерализованная
кокоамидопропилбетаин (мягкий ПАВ
получают из кокосового масла)
полиаминопропилбигуанид («зеленый» консервант
полученный из глицина
эффективная альтернатива парабенам и формальдегидам)
Д-пантенол
экстракт ромашки
гель алоэ
бисаболол (натуральный продукт
изготавливается путем дистилляции эфирного масла дерева кандеи)
гидроксиэтилцеллюлоза (эфир целлюлозы - мономер глюкозы
натуральный полисахарид)
полученный из кокосового масла)
бензиловый спирт (простейший ароматический спирт
антисептик и консервант
разрешен ECOCERT)
протеины риса гидролизованные (растительный белок
служащий в качестве хорошего агента увлажнения)
иван-чай (кипрей узколистый)
хлопья овсяные
виноград сушеный (изюм)
разрыхлители: гидрокарбонат аммония
гидрокарбонат натрия
корица
ядро фундука
масло сладкосливочное несоленое массовая доля жира 82
молоко сгущенное цельное массовая доля жира 8
5% (молоко цельное
молоко массовая доля жира 3
2% пастеризованное
какао-порошок натуральный
рыба макрурус
вода питьевая (глазурь не более 5%)
арахис жареный
шарики кукурузные экструдированные (крупа кукурузная
гранола (хлопья пшеничные
ржаные обжаренные
крахмал пшеничный)
семена тыквы сушеные
экстракт розмарина
В литре воды содержится
мг: кальций 40 - 70
магний 10 - 40
натрий + калий менее 10
гидрокарбонаты 150 - 400
хлориды менее 25
сульфаты менее 50
рыба копченая
мясо тунца
мука пшеничная хлебопекарная второго сорта
мед натуральный
дрожжи хлебопекарные (не более 1
25%)
рыба треска
вода питьевая (глазурь
не более 5%)
натуральный яблочный сок прямого отжима
природная питьевая столовая гидрокарбонатная магниево-кальциевая негазированная вода
творог (молоко нормализованное
препарат ферментный молокосвертывающий)
молочный шоколад (сахарна пудра
ароматизатор - ванилин)
масло сливочное м. д. ж. 72
растительный экстракт ванили
обжаренное очищенное ядро арахиса
пищевой натуральный антиокислитель – смесь токоферолов
обжаренное ядро подсолнечника
ядро арахиса тертое
пенообразователь – экстракт мыльного корня
обжаренные очищенные семена кунжута
чеснок сушеный молотый
лавровый лист)
бульон (вода питьевая
язык
экстракты черного
лимона
сельдерея
перец красный
мясо рапаны черноморской
молоко нормализованное
черная смородина
ирга
стабилизатор консистенции – пектин
персики
молоко
яйца
начинка – яблоки
треска
вода питьевая (глазурь)
вяленые томаты
растительное (подсолнечное) масло
пюре клюквенное
пюре яблочное
подсластитель мальтит (INS 965)
загуститель: пектин (INS 440)
регулятор кислотности: кислота лимонная (INS 330)
пюре черничное
молоко кобылье цельное
укроп
агент желирующий - пектин цитрусовый
белок яичный
регулятор кислотности - кислота молочная
ароматизатор натуральный ваниль
ядра кешью жареные
ядра фундука жареные
чай черный байховый
трава душицы
цветки ромашки аптечной
литья мяты перечной
цветки календулы
яблочное пюре (яблоки свежие)
корица молотая
яблочное пюре (яблоко свежее)
инжир вяленый
филе сельди слабосолёное (филе сельди
масло подсолнечное рафинированное дезодорированное)
картофель отварной
майонез (масло подсолнечное рафинированное дезодорированное
крахмал
регулятор кислотности – уксусная кислота
горчица (горчичный порошок
вода питьевая))
свекла столовая отварная
морковь столовая отварная.
молоко пастеризованное топленое 2
закваска чистых культур лактококков и стрептококков «Эвиталия»
клюква свежая
загуститель – крахмал картофельный
окунь филе с кожей мороженое
вода (защитная ледяная глазурь)
треска филе-кусок мороженое
пастеризованное молоко
поваренная пищевая соль
мезофильные молочнокислые микроорганизмы
молокосвертывающий ферментный препарат животного происхождения
лизоцим
манная крупа
масло топленое
мука из твердой пшеницы (дурум)
"масло ""Крестьянское"" 72"
филе индейки
фруктовый наполнитель «Груша» (сахар
пюре груши
сок лимона концентрированный) с использованием закваски термофильного стрептококка и симбиотической закваски бифидобактерий (B. bi?dum
B. infantis
икра лососевая зернистая (икра лососевая
филе грудки индейки
филе бедра индейки
вода специальной очистки
комплекс мягких ПАВ растительного происхождения
экстракт кокоса
экстракт календулы
пантенол
никотинамид
аскорбиновая кислота
аскорбат натрия
Дехикварт СС7 (кондиционер)
салицилат натрия
гликолевая кислота
Шаромикс 708 («зеленый» консервант
«Экосерт»)
парфюмерная композиция «Кокос»
экстракт лепестков дамасской розы
коко-бетаин (мягкий ПАВ растительного происхождения)
коко-гликозид (мягкий ПАВ растительного происхождения)
ТэгоСофт РС 41 (растительный эмолент
обладающий очищающими свойствами)
этилпантенол
гиалуронат натрия
шаромикс 708 («зелёный» консервант
экстракт алоэ вера
экстракт липы
парфюмерная композиция «Алоэ вера»
тростниковый сахар – 100%
семена льна подготовленные
мука пшеничная 1 сорт
закваска пшеничная (мука пшеничная в/с
вода)
солод ржаной неферментированный
свежий картофель
свежая морковь
лук-порей
свежий укроп
хлопья ржаные
мед натуральный подсолнечный
семечки подсолнечника
мякоть ореха кокосового (стружка)
ядра кешью сырые
ананас сушеный
виноград сушеный
сироп из топинамбура
масло подсолнечное рафинированное и дезодорированное
яблочный сок (100 %-й натуральный яблочный сок прямого отжима)
филе кеты
печень говяжья
яйца куриные пищевые
специи (перец белый молотый
орех мускатный)
пюре из яблок
пюре из черники
хлопья пшеничные
клюква
клубника вяленая
хлопья ячменные
хлопья из пророщенной пшеницы
семена тыквы
ядро миндаля
ядро фисташки
отруби пшеничные
мука овсяная
уксус яблочный
кардамон молотый
глазурь - пудра сахарная
белок сухой
сок лимона
сок черники
сок свеклы
сок моркови
сок брусники
куркума
каркаде
семена льна очищенные
частично обезжиренные и измельченные
яблоки свежие
корица натуральная измельченная
шоколад молочный 33% (сахар
какао тертое – общий сухой остаток не менее 33%
эмульгатор – соевый лецитин
натуральный ароматизатор ваниль)
миндаль жареный
помадка сахарная (сахар
крахмальная патока)
масло сливочное с массовой долей жира 82
коньяк
ядра фундука сушеные
паста томатная (массовая доля сухих веществ 36-38%)
регулятор кислотности - уксусная кислота
пряности: корица молотая
гвоздика молотая.
инжир сушеный
кета
мука пшеничная
соль поваренная пищевая.
соевые бобы
технологическое средство - 0
04 % кальция хлора пищевого двуводного
мясо говядина
экстракты специй
специи
ягоды можжевельника
стартовая культура микроорганизмов
мясо свинина
креветки аргентинские
вода питьевая (защитная глазурь) не более 5%
молоко обезжиренное с использованием заквасочных микроорганизмов
сыворотка молочная подсырная
молоко цельное коровье
молоко обезжиренное коровье
масло “Крестьянское” 72
сгущенное молоко с сахаром
телятина
хлеб бездрожжевой (мука пшеничная
вода питьевая.
цельное зерно кукурузы
порошок топинамбура
порошок расторопши
пюре из клубники
филе куриной грудки
капуста пекинская
лук зеленый
соевый соус
тесто - мука высший сорт
уксус
перец молотый красный
кориандр молотый
капуста свежая
сахар.
творог 5% (молоко нормализованное пастеризованное с использованием молочнокислых микроорганизмов и сычужного фермента животного происхождения (химозин 100%))
смесь крупы манной и муки пшеничной хлебопекарной для панировки (не более 3%)
ваниль натуральная
йодированная пищевая соль
майоран
пряности (белый перец
мускат
цедра лимона)
мясо кролика
свекла отварная
морковь отварная
кукурузная крупа
зерно кукурузное
масло кокосовое
зеленый горошек
кукуруза зерно
фасоль резаная
зерна кукурузы
перец
стручковая зеленая фасоль
мука из полбы
семена кунжута
натуральный подсластитель – экстракт стевии (комплексная пищевая добавка гликозил-стевиозид)
